"satisfaction";"Gender";"Customer.Type";"Age";"Type.of.Travel";"Class";"Flight.Distance";"Seat.comfort";"Departure.Arrival.time.convenient";"Food.and.drink";"Gate.location";"Inflight.wifi.service";"Inflight.entertainment";"Online.support";"Ease.of.Online.booking";"On.board.service";"Leg.room.service";"Baggage.handling";"Checkin.service";"Cleanliness";"Online.boarding";"Departure.Delay.in.Minutes";"Arrival.Delay.in.Minutes"
"dissatisfied";"Female";"Loyal Customer";14;"Personal Travel";"Eco";3444;3;4;3;3;3;1;1;5;4;3;4;1;3;1;208;218
"satisfied";"Female";"Loyal Customer";8;"Personal Travel";"Eco";2785;4;4;4;4;5;5;5;5;5;4;4;4;5;5;0;0
"satisfied";"Female";"Loyal Customer";34;"Personal Travel";"Business";1100;1;1;1;1;5;4;5;5;5;5;5;5;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";15;"Personal Travel";"Eco";2286;3;4;3;3;3;3;3;3;3;3;4;4;4;3;0;0
"dissatisfied";"Male";"Loyal Customer";30;"Personal Travel";"Eco Plus";2669;3;4;3;3;4;3;4;4;3;3;4;4;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";59;"Personal Travel";"Eco";2013;3;4;3;3;4;3;4;4;2;5;4;4;3;4;0;0
"satisfied";"Female";"Loyal Customer";63;"Personal Travel";"Eco";921;4;4;4;4;5;5;5;5;2;4;1;4;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco";2095;3;4;3;3;5;3;5;5;3;3;5;4;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";17;"Personal Travel";"Eco";2278;3;4;3;3;1;3;1;1;2;4;3;2;3;1;0;2
"dissatisfied";"Male";"Loyal Customer";13;"Personal Travel";"Eco";2578;3;4;3;3;3;5;2;3;3;5;5;2;3;2;157;142
"satisfied";"Female";"Loyal Customer";49;"Personal Travel";"Eco";910;3;3;2;3;2;5;4;5;5;5;5;5;5;4;62;54
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco";1932;3;4;3;3;2;3;2;2;3;2;5;4;5;2;18;18
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco";1613;3;4;3;3;1;3;1;1;4;4;5;5;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";35;"Personal Travel";"Eco";2472;3;4;3;3;1;3;1;1;5;4;5;5;4;1;99;93
"dissatisfied";"Male";"Loyal Customer";69;"Personal Travel";"Eco";2523;3;4;3;3;1;3;1;1;1;5;5;4;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";56;"Personal Travel";"Eco";1903;3;4;3;3;5;3;5;5;4;2;5;3;5;5;0;0
"satisfied";"Female";"Loyal Customer";22;"Personal Travel";"Eco";1819;5;5;5;5;5;4;4;5;5;5;5;5;5;4;8;3
"dissatisfied";"Male";"Loyal Customer";18;"Personal Travel";"Eco";1750;3;4;3;3;1;3;5;1;5;3;4;5;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";32;"Personal Travel";"Eco Plus";1740;3;4;3;3;3;3;3;3;4;2;3;4;4;3;0;15
"dissatisfied";"Male";"Loyal Customer";16;"Personal Travel";"Eco";2540;3;4;3;3;4;3;4;4;4;5;4;5;4;4;0;0
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco Plus";1517;3;4;3;3;1;3;1;1;3;5;5;5;4;1;0;0
"dissatisfied";"Male";"Loyal Customer";13;"Personal Travel";"Eco";1856;3;4;3;3;3;3;3;3;5;3;5;4;5;3;63;66
"dissatisfied";"Male";"Loyal Customer";67;"Personal Travel";"Eco";2055;3;4;3;3;4;3;4;4;5;3;5;4;5;4;0;3
"dissatisfied";"Male";"Loyal Customer";28;"Personal Travel";"Eco";1975;3;4;3;3;2;3;3;2;3;2;1;2;1;2;0;0
"dissatisfied";"Male";"Loyal Customer";54;"Personal Travel";"Eco";1318;3;4;3;3;1;3;3;1;3;2;4;4;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";64;"Personal Travel";"Eco";2039;3;4;3;3;4;3;4;4;3;1;1;5;4;4;0;0
"dissatisfied";"Female";"Loyal Customer";32;"Personal Travel";"Eco";2299;3;4;3;3;3;5;5;3;5;4;4;5;3;5;364;381
"satisfied";"Female";"Loyal Customer";35;"Personal Travel";"Eco";1777;4;4;4;4;4;4;4;5;5;5;5;5;5;3;11;22
"satisfied";"Female";"Loyal Customer";43;"Personal Travel";"Business";403;5;5;5;5;4;4;4;5;5;5;5;3;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";37;"Personal Travel";"Eco Plus";1207;3;4;3;3;1;3;1;1;1;4;4;4;2;1;0;0
"dissatisfied";"Male";"Loyal Customer";55;"Personal Travel";"Eco";2046;3;4;3;3;3;3;3;3;3;4;4;4;4;3;69;83
"satisfied";"Female";"Loyal Customer";40;"Personal Travel";"Eco";1631;2;2;2;2;5;5;5;5;5;5;5;5;5;5;0;0
"dissatisfied";"Male";NA;23;"Personal Travel";"Eco";1457;3;4;3;3;2;3;2;2;1;2;2;3;3;2;1;3
"satisfied";"Female";"Loyal Customer";44;"Personal Travel";"Eco";94;5;5;5;5;5;4;5;5;5;5;5;4;5;4;18;11
"dissatisfied";"Male";"Loyal Customer";46;"Personal Travel";"Eco";3838;3;4;3;4;3;4;4;4;4;3;4;4;4;4;0;19
"satisfied";"Female";"Loyal Customer";30;"Personal Travel";"Eco";3178;1;1;1;1;5;5;4;5;5;5;5;5;5;5;28;17
"satisfied";"Female";"Loyal Customer";63;"Personal Travel";"Eco";1554;2;2;2;2;5;5;5;5;5;5;5;3;5;5;37;42
"dissatisfied";"Male";"Loyal Customer";58;"Personal Travel";"Eco";3219;3;4;3;4;4;3;4;4;4;1;4;2;3;4;0;0
"dissatisfied";"Male";"Loyal Customer";55;"Personal Travel";"Eco";2885;3;4;3;4;2;3;2;2;4;3;3;2;3;2;0;0
"dissatisfied";"Male";NA;58;"Personal Travel";"Eco Plus";2784;3;4;3;4;1;3;1;1;4;2;5;2;1;1;0;0
"dissatisfied";"Female";"Loyal Customer";39;"Personal Travel";"Eco";2913;3;4;3;4;3;3;3;4;3;4;4;3;3;3;423;418
"dissatisfied";"Male";"Loyal Customer";16;"Personal Travel";"Business";2660;3;4;3;4;1;3;1;1;4;5;4;3;3;1;0;6
"dissatisfied";"Male";"Loyal Customer";55;"Personal Travel";"Eco";2525;3;4;3;4;2;3;2;2;1;4;3;4;4;2;20;7
"dissatisfied";"Male";"Loyal Customer";44;"Personal Travel";"Eco";2527;3;4;3;4;3;3;3;3;5;3;5;5;5;3;12;14
"dissatisfied";"Male";"Loyal Customer";31;"Personal Travel";"Eco";2511;3;4;3;4;3;2;5;3;2;4;4;5;3;5;139;164
"dissatisfied";"Male";"Loyal Customer";NA;"Personal Travel";"Eco Plus";1562;3;4;3;4;5;3;3;5;2;5;3;2;3;5;0;0
"satisfied";"Female";"Loyal Customer";10;"Personal Travel";"Business";1633;5;5;5;5;5;5;5;5;5;5;5;3;5;3;2;4
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco";2512;3;4;3;4;4;3;4;4;4;2;5;4;5;4;17;23
"dissatisfied";"Male";"Loyal Customer";37;"Personal Travel";"Eco";2093;3;4;3;4;3;3;1;3;3;4;4;3;3;3;9;11
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco";1666;3;4;3;4;5;3;5;5;4;2;5;3;4;5;18;17
"dissatisfied";"Male";"Loyal Customer";26;"Personal Travel";"Eco";1652;3;4;3;4;4;3;4;4;3;5;4;5;5;4;0;0
"satisfied";"Female";"Loyal Customer";67;"Personal Travel";"Eco";600;1;1;1;1;5;5;5;5;5;1;4;3;3;5;0;0
"dissatisfied";"Male";"Loyal Customer";34;"Personal Travel";"Eco";1882;3;4;3;4;1;3;1;1;2;2;4;2;3;1;3;1
"satisfied";"Female";"Loyal Customer";54;"Personal Travel";"Eco Plus";442;5;5;4;5;5;5;5;5;5;4;5;2;1;5;7;42
"satisfied";"Female";"Loyal Customer";11;"Personal Travel";"Eco";1613;1;1;5;1;3;4;5;5;5;5;5;3;5;4;0;0
"satisfied";"Female";"Loyal Customer";53;"Personal Travel";"Eco Plus";438;5;5;5;5;3;5;5;5;5;5;5;5;5;5;0;6
"dissatisfied";"Male";"Loyal Customer";53;"Personal Travel";"Eco";1944;3;4;3;4;1;3;1;1;3;4;4;4;4;1;1;0
"dissatisfied";"Male";"Loyal Customer";9;"Personal Travel";"Eco";1207;3;4;3;4;4;3;4;4;5;4;4;3;4;4;0;0
"satisfied";"Female";"Loyal Customer";36;"Personal Travel";"Eco";1585;3;3;3;3;2;5;5;5;5;5;5;5;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";52;"Personal Travel";"Eco";3779;3;4;3;5;3;3;3;3;4;2;5;4;5;3;44;42
"dissatisfied";"Male";"Loyal Customer";42;"Personal Travel";"Eco";3410;3;4;3;5;1;3;1;1;3;4;3;2;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";22;"Personal Travel";"Eco";2301;3;4;3;5;5;3;5;5;4;5;5;5;4;5;20;17
"satisfied";"Female";"Loyal Customer";66;"Personal Travel";"Eco";1150;1;1;4;1;3;4;4;5;5;5;5;4;5;4;0;0
"satisfied";"Female";"Loyal Customer";58;"Personal Travel";"Eco";1053;4;4;4;4;1;3;1;5;5;5;5;3;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";40;"Personal Travel";"Business";998;3;4;3;5;3;5;4;5;5;3;5;4;5;5;0;55
"dissatisfied";"Male";"Loyal Customer";NA;"Personal Travel";"Eco";1801;3;4;3;5;5;3;5;5;3;2;4;3;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";67;"Personal Travel";"Eco";2288;3;4;3;5;1;3;1;1;4;5;5;4;4;1;0;5
"dissatisfied";"Male";"Loyal Customer";50;"Personal Travel";"Eco Plus";2136;3;4;3;5;3;3;3;3;5;3;4;4;5;3;32;28
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco";2458;3;4;3;5;4;3;4;4;5;4;5;5;5;4;61;48
"satisfied";"Female";"Loyal Customer";57;"Personal Travel";"Eco";625;4;4;4;4;2;3;5;5;5;5;5;4;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";48;"Personal Travel";"Eco";1324;3;4;3;5;5;3;5;5;4;5;4;5;1;5;0;0
"satisfied";"Female";"Loyal Customer";32;"Personal Travel";"Eco Plus";1676;5;5;5;5;4;4;5;5;5;5;5;3;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";26;"Personal Travel";"Eco";1623;3;4;4;2;1;4;1;1;3;2;4;3;5;1;0;25
"dissatisfied";"Male";NA;65;"Personal Travel";"Eco";2035;3;4;4;2;1;4;1;1;3;2;5;4;4;1;0;0
"dissatisfied";"Male";"Loyal Customer";35;"Personal Travel";"Eco";2562;3;4;4;3;1;4;1;1;1;1;4;1;3;1;8;0
"dissatisfied";"Male";"Loyal Customer";54;"Personal Travel";"Business";390;3;4;4;3;5;3;1;5;5;4;5;5;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";40;"Personal Travel";"Eco";2624;3;4;4;4;5;4;5;5;3;2;5;3;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";9;"Personal Travel";"Eco";2704;3;4;4;4;2;4;2;2;3;4;4;2;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";38;"Personal Travel";"Eco Plus";2649;3;4;4;4;1;4;5;1;4;2;4;1;4;1;105;103
"satisfied";"Female";"Loyal Customer";45;"Personal Travel";"Eco";689;4;4;4;4;5;5;5;5;4;2;4;3;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";23;"Personal Travel";"Business";1933;3;4;4;4;1;4;1;1;5;3;5;5;4;1;0;0
"dissatisfied";"Male";"Loyal Customer";66;"Personal Travel";"Business";356;3;4;4;4;4;4;4;3;3;4;3;5;3;3;42;32
"satisfied";"Female";"Loyal Customer";11;"Personal Travel";"Eco Plus";1944;5;5;5;5;5;5;5;5;3;4;4;4;4;5;32;75
"satisfied";"Female";"Loyal Customer";30;"Personal Travel";"Eco";1792;3;3;3;3;3;5;2;5;5;5;5;3;5;4;0;0
"satisfied";"Female";"Loyal Customer";39;"Personal Travel";"Eco";1580;3;3;3;3;3;5;5;5;5;5;5;3;5;3;0;0
"dissatisfied";"Male";"Loyal Customer";20;"Personal Travel";"Eco";1781;3;5;0;2;4;0;4;4;4;2;4;1;4;4;40;39
"dissatisfied";"Male";"Loyal Customer";17;"Personal Travel";"Eco";1917;3;5;0;2;2;0;2;2;4;2;4;3;5;2;8;45
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco Plus";2111;3;5;2;1;3;2;3;3;3;4;4;4;4;3;3;7
"dissatisfied";"Male";"Loyal Customer";36;"Personal Travel";"Eco";3818;3;5;2;2;1;2;1;1;3;5;5;4;3;1;5;0
"satisfied";"Female";"Loyal Customer";26;"Personal Travel";"Eco";2676;3;3;3;3;3;5;4;5;5;5;5;3;5;5;0;0
"satisfied";"Female";"Loyal Customer";69;"Personal Travel";"Eco";714;1;1;1;1;2;5;5;5;5;5;5;5;5;3;10;2
"satisfied";"Female";"Loyal Customer";68;"Personal Travel";"Eco";1540;4;4;3;4;4;3;4;5;5;5;5;3;5;2;7;0
"satisfied";"Female";"Loyal Customer";27;"Personal Travel";"Eco";2142;1;1;1;1;5;5;5;5;4;5;4;5;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";13;"Personal Travel";"Eco";2052;3;5;2;3;2;2;2;2;4;2;4;3;5;2;0;0
"satisfied";"Female";"Loyal Customer";14;"Personal Travel";"Eco";3329;3;3;2;3;5;5;5;5;5;4;3;2;4;5;5;0
"satisfied";"Female";"Loyal Customer";16;"Personal Travel";"Eco";3409;5;3;3;3;1;4;2;5;5;5;5;2;5;2;0;0
"dissatisfied";"Male";"Loyal Customer";18;"Personal Travel";"Eco";2783;3;5;3;1;5;3;4;5;3;5;4;4;4;5;0;2
"satisfied";"Female";"Loyal Customer";22;"Personal Travel";"Eco Plus";2501;5;2;2;2;4;1;2;5;5;5;5;1;5;4;2;2
"satisfied";"Female";"Loyal Customer";43;"Personal Travel";"Eco";1449;5;5;5;5;5;5;5;5;3;3;5;3;4;5;20;17
"dissatisfied";"Male";"Loyal Customer";65;"Personal Travel";"Eco";2720;3;5;3;1;3;3;3;3;5;5;5;5;5;3;0;0
"dissatisfied";"Male";"Loyal Customer";21;"Personal Travel";"Eco";2643;3;5;3;1;3;3;3;3;3;4;5;5;4;3;0;26
"dissatisfied";"Male";"Loyal Customer";33;"Personal Travel";"Eco";2541;3;5;3;1;1;3;1;1;3;2;4;4;4;1;59;72
"satisfied";"Female";"Loyal Customer";47;"Personal Travel";"Eco Plus";937;5;4;4;4;4;5;5;5;5;5;5;2;5;5;0;5
"satisfied";"Female";"Loyal Customer";41;"Personal Travel";"Eco";2126;3;3;4;3;5;5;5;5;4;5;4;3;5;5;0;0
"satisfied";"Female";NA;8;"Personal Travel";"Eco Plus";2266;5;5;5;5;5;5;5;5;5;5;5;4;5;5;0;0
"satisfied";"Female";"Loyal Customer";11;"Personal Travel";"Eco";2317;2;2;2;2;3;4;4;5;5;5;5;4;5;5;0;5
"dissatisfied";"Male";"Loyal Customer";26;"Personal Travel";"Eco";1999;3;5;3;1;4;3;4;4;4;5;3;1;4;4;0;0
"dissatisfied";"Female";"Loyal Customer";52;"Personal Travel";"Eco";2276;3;5;3;1;3;5;5;3;2;5;5;5;5;5;132;121
"dissatisfied";"Male";"Loyal Customer";22;"Personal Travel";"Business";2029;3;5;3;NA;2;3;2;2;3;4;4;4;5;2;0;0
"dissatisfied";"Male";"Loyal Customer";11;"Personal Travel";"Eco";1886;3;5;3;1;1;3;1;1;4;4;4;5;5;1;11;5
"satisfied";"Female";"Loyal Customer";18;"Personal Travel";"Eco Plus";1652;4;4;5;4;5;5;5;5;2;3;1;2;3;5;0;0
"satisfied";"Female";NA;35;"Personal Travel";"Eco";1499;2;2;2;2;3;4;5;5;5;5;5;4;5;5;0;0
"satisfied";"Female";"Loyal Customer";30;"Personal Travel";"Eco";1183;5;1;1;1;5;5;5;5;1;3;4;3;1;5;14;16
"satisfied";"Female";NA;42;"Personal Travel";"Business";253;4;4;4;4;3;4;4;5;5;5;5;5;5;5;5;1
"satisfied";"Female";"Loyal Customer";11;"Personal Travel";"Eco";1859;3;3;3;3;4;5;5;5;5;5;5;4;5;4;42;56
"dissatisfied";"Male";"Loyal Customer";24;"Personal Travel";"Eco";1808;3;5;3;1;4;3;4;4;5;2;3;1;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";40;"Personal Travel";"Eco Plus";1514;3;5;3;NA;2;3;2;2;5;5;5;4;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";60;"Personal Travel";"Eco";3645;3;5;3;2;2;3;2;2;5;3;4;4;1;2;0;0
"dissatisfied";"Male";"Loyal Customer";26;"Personal Travel";"Eco Plus";3510;3;5;3;2;2;3;2;2;5;4;5;4;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";46;"Personal Travel";"Eco";2824;3;5;3;2;2;3;4;2;3;2;5;5;4;2;0;0
"satisfied";"Female";"Loyal Customer";38;"Personal Travel";"Eco";2713;2;2;2;2;4;4;5;5;5;5;5;5;5;5;0;0
"satisfied";"Female";"Loyal Customer";NA;"Personal Travel";"Eco";1232;5;2;2;2;5;5;5;5;2;3;2;3;1;5;0;0
"satisfied";"Female";"Loyal Customer";31;"Personal Travel";"Business";1526;1;1;1;1;3;5;5;5;5;5;5;5;5;3;0;0
"dissatisfied";"Male";"Loyal Customer";58;"Personal Travel";"Eco";1756;3;5;3;2;1;3;2;1;4;5;5;3;4;1;6;0
"satisfied";"Female";"Loyal Customer";61;"Personal Travel";"Eco";467;4;4;4;4;4;4;4;5;5;5;5;4;5;4;0;2
"dissatisfied";"Male";"Loyal Customer";65;"Personal Travel";"Eco";2039;3;5;3;2;2;3;2;2;5;4;5;5;5;2;0;0
"satisfied";"Female";"Loyal Customer";24;"Personal Travel";"Eco";1843;1;1;1;1;3;5;5;5;5;5;5;4;5;3;0;0
"dissatisfied";"Male";"Loyal Customer";31;"Personal Travel";"Eco";1746;3;5;3;2;2;3;2;2;4;2;4;4;5;2;20;0
"satisfied";"Female";"Loyal Customer";9;"Personal Travel";"Eco";1496;3;3;3;3;4;5;4;5;5;5;5;4;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";25;"Personal Travel";"Eco";1616;3;5;3;NA;5;3;5;5;3;5;4;3;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";38;"Personal Travel";"Eco Plus";1441;3;5;3;2;5;3;5;5;5;2;2;5;2;5;1;0
"dissatisfied";"Male";"Loyal Customer";47;"Personal Travel";"Eco";1945;3;5;3;2;2;3;2;2;3;5;5;3;5;2;4;1
"dissatisfied";"Male";"Loyal Customer";60;"Personal Travel";"Eco Plus";2211;3;5;3;2;2;3;5;2;3;3;5;4;4;2;30;20
"dissatisfied";"Male";"Loyal Customer";44;"Personal Travel";"Eco";1884;3;5;3;2;1;3;1;1;4;4;5;5;5;1;0;0
"satisfied";"Female";"Loyal Customer";68;"Personal Travel";"Eco";314;5;5;5;5;1;3;5;5;5;5;5;4;5;4;0;0
"dissatisfied";"Male";"Loyal Customer";12;"Personal Travel";"Eco";1548;3;5;3;2;3;3;1;3;5;4;4;4;5;3;0;5
"satisfied";"Female";"Loyal Customer";58;"Personal Travel";"Eco";2325;2;2;2;2;4;4;5;5;5;5;5;3;5;5;0;11
"dissatisfied";"Male";"Loyal Customer";10;"Personal Travel";"Eco";3046;3;5;3;3;1;3;1;1;3;3;4;5;5;1;18;7
"dissatisfied";"Male";"Loyal Customer";56;"Personal Travel";"Eco";2274;3;5;3;3;4;3;4;4;3;2;4;5;4;4;0;3
"satisfied";"Female";"Loyal Customer";35;"Personal Travel";"Eco";2491;2;2;2;2;5;5;5;5;5;5;5;3;5;5;102;92
"dissatisfied";"Male";"Loyal Customer";8;"Personal Travel";"Eco";2541;3;5;3;3;5;3;5;5;3;5;3;3;4;5;0;0
"dissatisfied";"Male";"Loyal Customer";26;"Personal Travel";"Eco";2009;3;5;3;3;5;3;5;5;4;3;4;5;5;5;17;21
"satisfied";"Female";"Loyal Customer";63;"Personal Travel";"Eco";1106;2;2;3;2;4;5;4;5;5;5;5;5;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";59;"Personal Travel";"Eco";2756;3;5;3;NA;3;3;3;3;3;2;4;3;5;3;0;0
"dissatisfied";"Male";"Loyal Customer";65;"Personal Travel";"Eco";2025;3;5;3;3;3;3;3;3;4;2;5;4;5;3;9;0
"satisfied";"Female";"Loyal Customer";64;"Personal Travel";"Business";978;4;4;4;4;3;4;4;5;5;5;5;3;5;3;11;4
"dissatisfied";"Male";"Loyal Customer";14;"Personal Travel";"Eco";2006;3;5;3;3;3;3;3;3;5;4;4;5;5;3;0;21
"dissatisfied";"Male";"Loyal Customer";24;"Personal Travel";"Eco";2610;3;5;3;3;1;3;1;1;2;5;3;5;2;1;69;57
"satisfied";"Female";"Loyal Customer";69;"Personal Travel";"Eco";893;1;1;1;1;5;5;5;5;3;2;5;5;5;5;30;44
"dissatisfied";"Male";"Loyal Customer";44;"Personal Travel";"Eco Plus";2058;3;5;3;3;5;3;4;5;5;2;5;3;5;5;14;0
"satisfied";"Female";"Loyal Customer";43;"Personal Travel";"Eco";808;4;4;4;4;3;5;3;5;5;5;5;4;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";51;"Personal Travel";"Eco Plus";1941;3;5;3;3;2;3;2;2;5;3;4;3;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";54;"Personal Travel";"Eco";2156;3;5;3;3;2;3;4;2;3;4;5;5;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";32;"Personal Travel";"Eco";1660;3;5;3;3;5;3;5;5;3;4;5;5;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";35;"Personal Travel";"Eco Plus";2108;3;5;3;3;5;3;4;5;3;2;4;5;4;5;3;12
"satisfied";"Female";"Loyal Customer";33;"Personal Travel";"Eco";2193;2;2;2;2;5;4;5;5;5;5;5;3;5;2;24;22
"dissatisfied";"Male";"Loyal Customer";41;"Personal Travel";"Business";593;3;5;3;3;2;5;4;5;5;3;5;4;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";37;"Personal Travel";"Eco";2420;3;5;3;3;3;4;1;5;4;4;4;1;4;1;289;279
"satisfied";"Female";"Loyal Customer";31;"Personal Travel";"Eco";1662;1;1;1;1;2;2;5;5;5;5;5;1;5;2;0;0
"dissatisfied";"Male";"Loyal Customer";33;"Personal Travel";"Eco";1623;3;5;3;3;1;3;5;1;5;5;4;4;5;1;0;0
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco";2261;3;5;3;3;5;3;4;5;2;4;3;4;4;5;51;46
"satisfied";"Female";"Loyal Customer";NA;"Personal Travel";"Business";430;5;2;2;2;5;5;5;5;4;4;3;5;5;5;1;0
"satisfied";"Female";"Loyal Customer";46;"Personal Travel";"Eco";432;3;3;3;3;2;2;3;5;5;5;5;1;5;1;0;0
"satisfied";"Female";"Loyal Customer";67;"Personal Travel";"Eco";387;2;2;2;2;2;5;4;5;5;5;5;3;5;4;0;27
"satisfied";"Female";"Loyal Customer";44;"Personal Travel";"Eco";361;1;1;1;1;5;5;5;5;4;4;4;4;5;5;0;0
"dissatisfied";"Male";"Loyal Customer";23;"Personal Travel";"Eco";1241;3;5;3;3;5;3;5;5;5;4;4;5;5;5;0;0
"satisfied";"Female";"Loyal Customer";64;"Personal Travel";"Eco";329;5;2;2;2;5;5;5;5;1;2;4;4;2;5;0;0
"dissatisfied";"Male";NA;54;"Personal Travel";"Eco";1352;3;5;3;3;1;3;1;1;4;3;4;4;4;1;6;3
"satisfied";"Female";"Loyal Customer";9;"Personal Travel";"Eco Plus";1125;2;2;2;2;4;1;5;5;5;5;5;1;5;5;42;38
"dissatisfied";"Male";"Loyal Customer";39;"Personal Travel";"Eco";1728;3;5;3;3;4;3;4;4;5;5;4;5;4;4;0;8
"dissatisfied";"Male";"Loyal Customer";45;"Personal Travel";"Eco";1641;3;5;3;3;4;3;4;4;2;4;4;3;1;4;0;0
"satisfied";"Female";"Loyal Customer";9;"Personal Travel";"Eco";1627;5;5;2;5;5;5;4;5;5;5;5;5;5;5;16;5
"dissatisfied";"Female";"Loyal Customer";56;"Personal Travel";"Eco Plus";2323;3;5;3;4;4;4;4;2;2;3;2;5;2;4;0;13
"dissatisfied";"Male";"Loyal Customer";8;"Personal Travel";"Eco";2780;3;5;3;4;3;3;3;3;4;4;4;5;5;3;0;0
"dissatisfied";"Male";"Loyal Customer";44;"Personal Travel";"Business";1611;3;5;3;4;4;4;4;2;2;3;2;3;2;3;4;17
"dissatisfied";"Female";"Loyal Customer";19;"Personal Travel";"Eco";2406;3;5;3;4;2;3;2;2;4;2;5;3;4;2;0;0
"dissatisfied";"Male";"Loyal Customer";9;"Personal Travel";"Eco";2049;3;5;3;4;5;3;5;5;4;3;3;5;5;5;0;7
"dissatisfied";"Female";"Loyal Customer";54;"Personal Travel";"Business";1163;3;5;3;4;2;5;4;1;1;3;1;4;1;4;12;4
"dissatisfied";"Female";"Loyal Customer";20;"Personal Travel";"Eco";2771;3;5;3;4;4;3;4;4;3;3;5;3;4;4;0;0
"dissatisfied";"Female";"Loyal Customer";29;"Personal Travel";"Eco Plus";1700;3;5;3;4;4;3;4;4;4;5;4;3;5;4;0;3
"dissatisfied";"Female";"Loyal Customer";23;"Personal Travel";"Eco";2626;3;5;3;4;3;3;3;3;4;5;5;4;4;3;0;0
"dissatisfied";"Male";"Loyal Customer";48;"Personal Travel";"Business";871;3;5;3;4;3;5;5;1;1;3;2;5;1;3;41;41
"dissatisfied";"Female";"Loyal Customer";70;"Personal Travel";"Eco Plus";781;3;5;3;4;2;5;5;1;1;3;1;3;1;3;26;22
"dissatisfied";"Female";"Loyal Customer";44;"Personal Travel";"Eco";713;3;5;3;4;3;4;5;2;2;3;4;5;2;3;18;23
"dissatisfied";"Male";"Loyal Customer";29;"Personal Travel";"Eco";1632;3;5;3;4;4;3;4;4;4;5;5;4;5;4;0;29
"dissatisfied";"Female";"Loyal Customer";54;"Personal Travel";"Eco";609;3;5;3;4;3;3;4;2;2;3;2;2;2;3;2;4
"dissatisfied";"Female";"Loyal Customer";32;"Personal Travel";"Eco";1716;3;5;3;4;5;3;5;5;5;2;5;3;5;5;0;0
"dissatisfied";"Female";"Loyal Customer";56;"Personal Travel";"Eco";567;3;5;3;4;5;5;2;5;5;3;3;3;5;2;0;0
"dissatisfied";"Female";"Loyal Customer";8;"Personal Travel";"Eco";1819;3;5;3;4;4;3;4;4;4;5;3;2;4;4;0;13
"dissatisfied";"Male";"Loyal Customer";9;"Personal Travel";"Eco";2135;3;5;3;4;4;3;4;4;4;5;5;3;5;4;83;76
"dissatisfied";"Female";"Loyal Customer";18;"Personal Travel";"Eco";2021;3;5;3;4;3;3;3;3;3;3;5;5;5;3;9;38
"dissatisfied";"Male";"Loyal Customer";35;"Personal Travel";"Eco";2244;3;5;3;NA;3;3;3;2;1;3;4;3;2;3;180;165
"dissatisfied";"Male";"Loyal Customer";47;"Personal Travel";"Eco Plus";1520;3;5;3;4;5;3;5;5;5;4;3;5;4;5;0;0
"dissatisfied";"Female";"Loyal Customer";37;"Personal Travel";"Eco";1744;3;5;3;4;2;3;2;2;4;5;4;4;4;2;0;0
"dissatisfied";"Female";NA;29;"Personal Travel";"Eco";1201;3;5;3;4;4;3;4;4;4;4;5;4;5;4;0;0
